1,"Need before board meeting.","mobile"
2,"Please set something up.","mobile"
3,"Is Cassandra there today?","mobile"
4,"If so he probably will have to pay back.","mobile"
5,"Surely we can cover this from within Virgo's team?","mobile"
6,"I think that we should enforce the agreement.","mobile"
7,"If he'll sign no issues with Barclays.","mobile"
8,"I'll probably page you.","mobile"
9,"I have received your messages and will respond accordingly.","mobile"
10,"OK I thought it was in Washington state.","mobile"
11,"I need your home cell or whatever.","mobile"
12,"Ava please put it on my calendar.","mobile"
13,"Hope you had a good weekend.","mobile"
14,"In isolation, all of these things are trivial.","mobile"
15,"I have rates and capacity utilization information ready.","mobile"
16,"I meant to try and explain, not to redo.","mobile"
17,"I think we are dong OK.","mobile"
18,"Let me know if I can be of help.","mobile"
19,"TXU is off, everyone else OK.","mobile"
20,"I'll call you when I get to the office.","mobile"
21,"Email the consent to me.","mobile"
22,"Who should I contact regarding severance?","mobile"
23,"No, at least not to my knowledge.","mobile"
24,"I will not make the meeting at 1 PM.","mobile"
25,"Will let you know how call goes in morning.","mobile"
26,"Boy, I couldn't write too much on this thing!","mobile"
27,"We are sitting in Weil's offices, waiting to negotiate.","mobile"
28,"Thanks for all you are doing.","mobile"
29,"Please pass along my thanks, though.","mobile"
30,"Thanks for your leadership on this issue.","mobile"
31,"How are we handling others in that group?","mobile"
32,"We probably have to discuss trade behavior and margin.","mobile"
33,"I thought it had gone to all of Enron.","mobile"
34,"Can you supplement the answer to the visa question?","mobile"
35,"I would like to discuss.","mobile"
36,"Mixed signals from APS today.","mobile"
37,"Check with Vince Strohmeyer.","mobile"
38,"Let Gary Smith know today if you want him.","mobile"
39,"Wasn't nearly as bad as I thought.","mobile"
40,"It will all be public someday.","mobile"
41,"Because there is traffic.","mobile"
42,"Lavo called it, never mind though.","mobile"
43,"Let me know if I miss anything.","mobile"
44,"I'm at the doctor's office, should be in later.","mobile"
45,"We are about to leave Heaven!","mobile"
46,"Are things better for you at home tonight?","mobile"
47,"Milly is a seller.","mobile"
48,"I'll ask, he just came by.","mobile"
49,"Just in case we haven't invited any of them.","mobile"
50,"Go ahead and notify.","mobile"
51,"Just bought out Toys R Us.","mobile"
52,"Please coordinate with him.","mobile"
53,"I'm leaving around noon tomorrow to catch a flight.","mobile"
54,"I would like it paid through I Buy It.","mobile"
55,"You are welcome in Palacios this weekend, of course.","mobile"
56,"Might include proposals with respect to Alaska.","mobile"
57,"I'm on a conference call.","mobile"
58,"We sold the UK business to AEP.","mobile"
59,"San Francisco was Interconnect meeting.","mobile"
60,"If lunch doesn't work then how about coffee?","mobile"
61,"The meteor shower was incredible last night.","mobile"
62,"The other figure is the top 15 contracts.","mobile"
63,"Can you get me the Calger letter done?","mobile"
64,"She is taking over Global Finance Legal.","mobile"
65,"Lynn, got to the office OK.","mobile"
66,"I think I'm OK.","mobile"
67,"Can you rough out a slide on rating agencies?","mobile"
68,"I think Tim wants to move quickly.","mobile"
69,"Presuming we can afford headcount?","mobile"
70,"I can be there within the hour.","mobile"
71,"It's still going on - quite boring though.","mobile"
72,"I'll send you minutes.","mobile"
73,"I would suggest you and Mark address this together.","mobile"
74,"And I can't turn my phone on.","mobile"
75,"Still waiting on decision.","mobile"
76,"We are in the process of making a change.","mobile"
77,"But I hope to see you at Kari's house.","mobile"
78,"Isn't that about the way it could happen?","mobile"
79,"I hope you went.","mobile"
80,"Thus have nothing to destroy.","mobile"
81,"So you're ignoring me.","mobile"
82,"We are working on this as we speak.","mobile"
83,"Still hustling to find dollars for the quarter end.","mobile"
84,"Just told them I thought it would be impossible.","mobile"
85,"My only constraint is Chad's soccer game at noon.","mobile"
86,"Jan, sorry for the inconvenience.","mobile"
87,"Nothing new from Mom.","mobile"
88,"I will if I want to.","mobile"
89,"You haven't seen 120 in some time.","mobile"
90,"Please send to Gary Smith.","mobile"
91,"Scotty and I will be in NYC.","mobile"
92,"I need to talk to Tom Carlton, their decision-maker.","mobile"
93,"Be back tomorrow and maybe we can visit.","mobile"
94,"Brian is working this.","mobile"
95,"I think these will be just fine.","mobile"
96,"See you in Enron House when I get back.","mobile"
97,"Maybe stuff we do more of next year.","mobile"
98,"We will sign tomorrow and fund Tuesday.","mobile"
99,"Shouldn't be too hard though.","mobile"
100,"We don't want to look bad to Dyn.","mobile"
101,"I thought you needed him to carry two people.","mobile"
102,"Got your back while you pick up wine.","mobile"
103,"Met with partners in San Francisco.","mobile"
104,"I'm not close enough right now to the discussion.","mobile"
105,"Has it been mentioned yet?","mobile"
106,"Does Friday at 10 work for you?","mobile"
107,"Wonder what next week will bring.","mobile"
108,"You just can't work without me can you?","mobile"
109,"I'll get with him by phone to confirm.","mobile"
110,"This is a most unfortunate news release.","mobile"
111,"Have you talked to Somerholder?","mobile"
112,"Hope that you have a great TG.","mobile"
113,"If possible, I'd like to get Amy's opinion.","mobile"
114,"How did they get onto our floor?","mobile"
115,"What is the shower at Patsy's for?","mobile"
116,"Remember blackberry doesn't work so well at home.","mobile"
117,"Let's have this meeting today or tonight.","mobile"
118,"I'll find someone to do it.","mobile"
119,"No obligation to pay.","mobile"
120,"Never mind, I already deleted it.","mobile"
121,"I heard it was at 5?","mobile"
122,"Confirmed with Mark Taylor.","mobile"
123,"Michael was great this AM.","mobile"
124,"I will handle this afternoon.","mobile"
125,"Marisa sent the invoices.","mobile"
126,"I am really not wanting to come back.","mobile"
127,"Very foggy this morning.","mobile"
128,"I didn't hear from Ginger this week.","mobile"
129,"I will call you Monday morning to discuss.","mobile"
130,"I am unavailable for the 1PM meeting.","mobile"
131,"Jane, what about this Thursday for lunch?","mobile"
132,"I might have something at the office.","mobile"
133,"A letter is being sent today.","mobile"
134,"I'm still in Dallas!","mobile"
135,"I am on a plane, sorry.","mobile"
136,"Let me know where you might be.","mobile"
137,"Also, regarding the cash flow from Canada.","mobile"
138,"If you need John speak up now.","mobile"
139,"We are somewhat emasculated bystanders.","mobile"
140,"It will probably be tomorrow.","mobile"
141,"FYI on the demand letter I signed earlier.","mobile"
142,"No problem Maria, please contact Rick.","mobile"
143,"We can work with it either way.","mobile"
144,"Yes I am coming twice.","mobile"
145,"Presumably so do you.","mobile"
146,"But I believe answer will be yes.","mobile"
147,"I have no personal transactions with any Enron entity.","mobile"
148,"I'll just have her call Tracy.","mobile"
149,"Thanks, I think we have taken care of this.","mobile"
150,"Fuel is retained in kind from the shippers.","mobile"
151,"There will be some better news later today","mobile"
152,"Couldn't risk the uncertainty.","mobile"
153,"I'm looking forward to the long weekend!","mobile"
154,"Do you want to eat lunch somewhere before?","mobile"
155,"Much better than carrying a laptop.","mobile"
156,"Would you please send runner to get this?","mobile"
157,"Thanks for your help in quickly setting this up.","mobile"
158,"I'm glad you are involved!","mobile"
159,"I appreciate you moving so quickly on this.","mobile"
160,"Probably need to check with HR group providing services.","mobile"
161,"On a comparative basis I can't justify more.","mobile"
162,"We haven't made that decision here though.","mobile"
163,"What is the status of the Pemex discussions?","mobile"
164,"Don't know how that happened.","mobile"
165,"Let me know if I can help.","mobile"
166,"Did he get a signing bonus?","mobile"
167,"I am now officially a Blackberry addict.","mobile"
168,"They may want to discuss with you.","mobile"
169,"Has Brian had his contract yet?","mobile"
170,"What information, if any, do we owe him?","mobile"
171,"Let's leave it until we get going.","mobile"
172,"No need to send to FL.","mobile"
173,"They have not issued an order yet.","mobile"
174,"Thanks so much for the message.","mobile"
175,"Thanks I needed that today!","mobile"
176,"Michael said his day was rotten.","mobile"
177,"Lynn checked with Fran and she told her coordinator.","mobile"
